time_sec,cos_sim_adjacent
461.461000,0.655515
462.462000,0.641948
463.463000,0.968176
464.464000,0.992735
465.465000,0.980669
466.466000,0.689042
467.467000,0.962775
468.468000,0.729051
469.469000,0.976941
470.470000,0.762313
471.471000,0.933465
472.472000,0.985986
473.473000,0.711605
474.474000,0.720901
475.475000,0.964972
476.476000,0.687014
477.477000,0.734150
478.478000,0.942957
479.479000,0.600556
480.480000,0.912496
481.481000,0.859887
482.482000,0.693861
483.483000,0.997488
484.484000,0.887393
485.485000,0.952755
486.486000,0.930890
487.487000,0.781616
488.488000,0.928667
489.489000,0.918087
490.490000,0.892738
491.491000,0.913303
492.492000,0.890095
493.493000,0.865616
494.494000,0.933533
495.495000,0.517927
496.496000,0.971423
497.497000,0.541509
498.498000,0.927316
499.499000,0.882224
500.500000,0.854144
501.501000,0.884363
502.502000,0.877671
503.503000,0.796263
504.504000,0.796372
505.505000,0.833196
506.506000,0.776821
507.507000,0.932555
508.508000,0.855926
509.509000,0.815282
510.510000,0.916486
511.511000,0.931804
512.512000,0.872857
513.513000,0.917970
514.514000,0.896331
515.515000,0.855009
516.516000,0.847192
517.517000,0.851396
518.518000,0.909488
519.519000,0.842293
520.520000,0.721294
521.521000,0.888478
522.522000,0.800604
523.523000,0.985702
524.524000,0.999998
525.525000,0.761575
526.526000,0.934168
527.527000,0.936906
528.528000,0.888145
529.529000,0.919021
530.530000,0.912118
531.531000,0.813582
532.532000,0.897994
533.533000,0.895801
534.534000,0.888254
535.535000,0.832977
536.536000,0.934593
537.537000,0.854903
538.538000,0.529590
539.539000,0.985071
540.540000,0.462432
541.541000,0.902321
542.542000,0.920553
543.543000,0.859044
544.544000,0.898870
545.545000,0.949377
546.546000,0.948041
547.547000,0.926910
548.548000,0.880377
549.549000,0.836822
550.550000,0.675798
551.551000,0.658307
552.552000,0.942510
553.553000,0.925475
554.554000,0.913725
555.555000,0.708211
556.556000,0.714015
557.557000,0.909706
558.558000,0.938896
559.559000,0.899740
560.560000,0.942225
561.561000,0.934988
562.562000,0.841148
563.563000,0.927539
564.564000,0.919140
565.565000,0.944332
566.566000,0.900690
567.567000,0.512391
568.568000,0.511265
569.569000,0.836621
570.570000,0.783289
571.571000,0.876051
572.572000,0.941390
573.573000,0.908276
574.574000,0.941325
575.575000,0.814715
576.576000,0.897787
577.577000,0.828591
578.578000,0.980719
579.579000,0.648158
580.580000,0.727171
581.581000,0.514180
582.582000,0.867135
583.583000,0.832206
584.584000,0.780110
585.585000,0.930109
586.586000,0.943393
587.587000,0.842063
588.588000,0.916799
589.589000,0.818001
590.590000,0.942858
591.591000,0.727288
592.592000,0.723670
593.593000,0.940114
594.594000,0.945759
595.595000,0.739423
596.596000,0.680447
597.597000,0.721230
598.598000,0.963797
599.599000,0.761487
600.600000,0.695551
601.601000,0.994722
602.602000,0.994868
