time_sec,cos_sim_adjacent
250.250250,0.961334
251.251251,0.601791
252.252252,0.648874
253.253253,0.942758
254.254254,0.985520
255.255255,0.733058
256.256256,0.980030
257.257257,0.979206
258.258258,0.674444
259.259259,0.989196
260.260260,0.989231
261.261261,0.589883
262.262262,0.957044
263.263263,0.572443
264.264264,0.649619
265.265265,0.916541
266.266266,0.954345
267.267267,0.609639
268.268268,0.950680
269.269269,0.975578
270.270270,0.949726
271.271271,0.964752
272.272272,0.720952
273.273273,0.654983
274.274274,0.974657
275.275275,0.563554
276.276276,0.961747
277.277277,0.964122
278.278278,0.956141
279.279279,0.638923
280.280280,0.966621
281.281281,0.954910
282.282282,0.612377
283.283283,0.647973
284.284284,0.955710
285.285285,0.761386
286.286286,0.768070
287.287287,0.967199
288.288288,0.661566
289.289289,0.592229
290.290290,0.971955
291.291291,0.566150
292.292292,0.651096
293.293293,0.987924
294.294294,0.622242
295.295295,0.996807
296.296296,0.742981
297.297297,0.972693
298.298298,0.966641
